Beginning, Sprint, Warm Up,1,300, Free,1,100, Drill,1,200, Drill, Main Session,3,100, IM,3,100, Pull & Paddle,3,300, Kick, Cool Down,1,600, Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning, Long Distance, Warm Up,1,300, Free,1,100, Drill,1,200, Drill, Main Session,3,100, Choice,3,300, Choice,3,300, Kick, Cool Down,1,200, Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning, Mid Distance, Warm Up,1,300, Free,1,100, Drill,1,200, Drill, Main Session,3,300, Kick,3,200, Pull & Paddle, Cool Down,1,600, Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning, Sprint, Warm Up,1,200, Free,1,200, Pull & Paddle,1,200, Kick, Main Session,3,200, Choice,3,200, Kick,3,200, Free, Cool Down,1,600, Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning, Long Distance, Warm Up,1,200, Free,1,200, Pull & Paddle,1,200, Kick, Main Session,3,200, Free,3,300, Pull & Paddle, Cool Down,1,200, Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning, Mid Distance, Warm Up,1,200, Free,1,200, Pull & Paddle,1,200, Kick, Main Session,3,100, Pull & Paddle,3,300, Pull & Paddle,3,300, Choice, Cool Down,1,600, Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning, Sprint, Warm Up,1,300, Free,1,100, Pull & Paddle,1,100, Kick, Main Session,3,100, IM,3,300, Pull & Paddle,3,200, Pull & Paddle, Cool Down,1,400, Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning, Long Distance, Warm Up,1,300, Free,1,100, Pull & Paddle,1,100, Kick, Main Session,3,200, IM,3,200, IM,3,300, IM, Cool Down,1,600, Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning, Mid Distance, Warm Up,1,300, Free,1,100, Pull & Paddle,1,100, Kick, Main Session,3,300, IM,3,300, Free, Cool Down,1,200, Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beginning, Sprint, Warm Up,1,200, Free,1,100, Drill,1,200, Kick, Main Session,3,300, Free,3,100, IM, Cool Down,1,600, Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
