Competition	Year
2009 Bulgaria Open	2009
USC Invitational	2009
Southern Cal Invitational	2009
2009 Iowa Swimming Summer State	2009
2009 Bulgaria Boys Girls Senior Youth	2009
2009 Bulgaria Boys Girls Junior	2009
2010 Speedo Champions Series - Athens	2010
2010 Junior National Championships	2010
2010 Speedo Champions Series - California	2010
2010 YMCA Long Course Nationals	2010
2010 Speedo Champions Series - Mt. Hood	2010
2010 Speedo Champions Series - Gainesville (Best Times)	2010
Last Chance Meet: Mountain West Conference	2010
2010 Speedo Champions Series - Minneapolis	2010
Last Chance Meet: Georgia - Long Course	2010
2010 Speedo Champions Series - Columbia	2010
2010 Bulgaria Men Women	2010
2010 Bulgaria Boys Girls Youth	2010
Last Chance Meet: Ohio State - LC	2010
UALR vs. North Texas, Henderson State	2010
2010 Bulgaria Boys Girls Junior Summer	2010
2010 Bulgaria Detsa Summer	2010
2011 Speedo Sectionals - Fresno, CA	2011
2011 USA Swimming Junior Nationals	2011
2011 Speedo Sectionals - Indianapolis, IN	2011
2012 AT&T National Championships (18 & Unders)	2011
Missouri Grand Prix (College Teams Only)	2011
Tennessee Invitational	2011
2011 Speedo Sectionals - Fort Lauderdale, FL	2011
2011 Speedo Sectionals - Oklahoma City	2011
2011 Bulgaria Men Women	2011
Pittsburgh Invitational	2011
Florida vs. Georgia	2011
Michigan State vs. Cleveland State, Oakland	2011
MWC Last Chance Meet - Long Course	2011
Navy vs. American, Bucknell, Lafayette	2011
Cal Poly vs. UC-San Diego	2011
2011 Bulgaria Boys Girls Youth	2011
2011 Bulgaria Junior	2011
Loras vs. East Carolina	2011
2011 Bulgaria Detsa	2011
USA Olympic Team Trials	2012
Victorian Winter Championships	2012
2012 Speedo Junior National Championships (LCM)	2012
2012 YMCA Long Course Nationals	2012
Victorian Age Championships	2012
2012 United States Olympic Team Trials - 18 & Under	2012
2012 NCSA Jr National Championships - Meters	2012
2012 Speedo Champions Series - Fairfax, VA (18 & Under)	2012
Florida vs. Auburn	2012
2012 Speedo Champions Series - Federal Way, WA (18 & Under)	2012
2012 Speedo Champions Series - Columbia, MO	2012
2012 Speedo Champions Series - Santa Clarita, CA	2012
2012 Speedo Champions Series - Greensboro, NC (18 & Under)	2012
2012 Speedo Champions Series - Iowa City	2012
2012 Speedo Champions Series - College Station, TX (18 & Under - Meters Only)	2012
Princeton Olympic Trials Qualifying Meet	2012
2012 Speedo Champions Series - Jenks, OK	2012
2012 Speedo Champions Series - Orlando, FL (18 & Under)	2012
2012 United States Olympic Team Trials - 18 & Under Time Trials	2012
2012 Speedo Champions Series - Pleasant Prairie, WI	2012
2012 Speedo Champions Series - Shenandoah, TX	2012
