Year	Competition	Dates
2009	2009 Bulgaria Open	Jul. 10–12, 2009
2009	USC Invitational	Oct. 09–10, 2009
2009	Southern Cal Invitational	Oct. 09–10, 2009
2009	2009 Iowa Swimming Summer State	Jul. 30, 2009 - Aug. 02, 2009
2009	2009 Bulgaria Boys Girls Senior Youth	Jul. 03–05, 2009
2009	2009 Bulgaria Boys Girls Junior	Jun. 26–28, 2009
2010	2010 Speedo Champions Series - Athens	Jul. 15–18, 2010
2010	2010 Junior National Championships	Aug. 09–13, 2010
2010	2010 Speedo Champions Series - California	Jul. 24, 2010
2010	2010 YMCA Long Course Nationals	Aug. 02, 2010
2010	2010 Speedo Champions Series - Mt. Hood	Aug. 02, 2010
2010	2010 Speedo Champions Series - Gainesville (Best Times)	Aug. 02, 2010
2010	Last Chance Meet: Mountain West Conference	Feb. 28, 2010
2010	2010 Speedo Champions Series - Minneapolis	Mar. 10–13, 2010
2010	Last Chance Meet: Georgia - Long Course	Feb. 28, 2010
2010	2010 Speedo Champions Series - Columbia	Jul. 21–24, 2010
2010	2010 Bulgaria Men Women	Mar. 19–21, 2010
2010	2010 Bulgaria Boys Girls Youth	Jul. 25–27, 2010
2010	Last Chance Meet: Ohio State - LC	Mar. 07, 2010
2010	UALR vs. North Texas, Henderson State	Jan. 06, 2010
2010	2010 Bulgaria Boys Girls Junior Summer	Jul. 16–18, 2010
2010	2010 Bulgaria Detsa Summer	Jul. 03–04, 2010
2011	2011 Speedo Sectionals - Fresno, CA	Jul. 20–25, 2011
2011	2011 USA Swimming Junior Nationals	Aug. 08–12, 2011
2011	2011 Speedo Sectionals - Indianapolis, IN	Mar. 24–27, 2011
2011	2012 AT&T National Championships (18 & Unders)	Dec. 01–03, 2011
2011	Missouri Grand Prix (College Teams Only)	Feb. 18–21, 2011
2011	Tennessee Invitational	Nov. 16–18, 2011
2011	2011 Speedo Sectionals - Fort Lauderdale, FL	Mar. 17–20, 2011
2011	2011 Speedo Sectionals - Oklahoma City	Mar. 03–06, 2011
2011	2011 Bulgaria Men Women	Jul. 01–03, 2011
2011	Pittsburgh Invitational	Nov. 18–20, 2011
2011	Florida vs. Georgia	Oct. 28, 2011
2011	Michigan State vs. Cleveland State, Oakland	Oct. 08, 2011
2011	MWC Last Chance Meet - Long Course	Feb. 27, 2011
2011	Navy vs. American, Bucknell, Lafayette	Nov. 05, 2011
